,,Race,Class,Name,Sub-class,,ATK,DEF,HP,Speed,CR,CD,CritRes,CritDEF,Ddg,Acc,Pen,RecR,LsR,CCRes,PhRes,MRes,Active Skill,Passive skill 1,Passive skill 2,Passive skill 3,Awaken Skill,Engraving,Exclusive equipment,Added stats from Exclusive Equipment 
,1,Darkguard,Int,Vescura,Supporter,,422 130,143 516,1 386 462,80,10%,50%,0%,0%,10%,0%,0%,0%,0%,80%,0%,0%,"Demon's Heart: Applies a debuff to all enemies, reducing Crit Resistance by 20% for 2 turns. Additionally, applies a debuff that increases damage taken by 30% for 1 turn(s) to the closest enemy in the front row. (Vescura cannot reuse his Active Skill)","Dark Orb: Unleash a chain attack on adjacent enemies, dealing ATK 130% as damage. This attack can chain up to 2 times.","Wings of Defiance: CC Resistance +80%. At the start of battle, if Vescura is placed in the 2nd or 3rd row, reduces the Speed of enemy Light heroes by 15.","Count's Prestige: When Vescura takes damage from Active Skills or Normal Attacks, there is a 100% chance to restore 50 Energy to a random ally in the same row (1 time per round).","Demonic Pact: When using Active Skill, there is a 60% chance to apply [Blood Host] to all enemies for 2 turn(s). Enemies affected by [Blood Host] gain 10 less Energy from normal attacks. At the start of each round, Vescura attacks enemies afflicted with [Blood Host], dealing additional damage equal to 20% of their current HP. ([Blood Host] does not stack, and additional damage does not exceed 250% of Vescura's ATK)","When an enemy hero afflicted with [Blood Host] triggers an additional attack (including joint attack and counterattack), reduce their Energy by 30. This effect does not apply to boss-type enemies. (Up to 2 time(s) per round, includes invisible and shadow-state enemies) Chance to apply [Blood Host] to Dealers, Supporters, and Boss-type enemies is increased by 40%.",,
,2,Darkguard,Int,Dmitri,Healer,,404 298,140 195,1 356 947,75,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Tranquillo: Heals all allies by ATK 75% and applies a HoT buff to the ally with the lowest HP%, healing them by ATK 120% for 2 turns.","Canzonetta: At the start of battle, gains 100 Energy.","Moderato: Starting from round 1 and every other round thereafter, applies a HoT buff to all allies, healing them by ATK 80% for 2 turns, and removes 1 debuff from 3 random allies.","Fermata: Upon being hit, applies a debuff that reduces ATK by 20% for 2 turns to the attacker. Can trigger once per round.","Finale: If there are 5 Dark and/or Undead deployed allies, the following effects take place: / At the start of each round, all allies, except self, gain 30 Energy. / Upon the death of an ally, excluding self, applies a HoT buff to all remaining allies, healing them by ATK 80% for 2 turns. Can trigger once per battle. / Upon the resurrection of an ally, applies a debuff to all enemies that reduces their DEF by 40% for 2 turns and deals damage equal to 30% of their max HP. Can trigger once per battle.","If there are 3 or more Dark and/or Undead reployed allies, for the first 5 rounds, allies with a HoT buff, including self, cannot take damage exceeding 35% of their max HP from a single hit. If the damage would have otherwise exceeded 35% of their max HP, they get 1 HoT buff removed.",,
,3,Darkguard,Agi,Roze,Dealer,,479 248,129 038,1 545 473,86,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Dance of Death: Targets the enemy with the lowest HP%, dealing ATK 230% damage and applying a debuff that reduces healing received by 80% for 2 turns.","Stiletto Heels: On normal attacks, targets the enemy with the lowest HP%, dealing ATK 130% damage and permanently reducing their Crit Resistance by 10%.","Dance of Vengeance: Upon the death of an ally, retaliates against the attacker, dealing ATK 100% damage.","Euphoria: Upon the death of an enemy, heals for 30% of max HP. If Roze lands the killing blow, gains an additional 100 Energy.","Vital Strike: Critical hits deal additional damage equal to 16% of the enemy's max HP. This effect increases by 3% each time a critical hit is triggered, up to a maximum of 28%.","Just before death, hides in the shadows for 2 turns. When in the shadows, cannot be targeted, and Penetration and Crit Damage increase by 50% each. Can trigger once per battle.",,
,4,Darkguard,Int,Nebula,Supporter,,418 887,153 108,1 563 994,79,25%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Tentacle Bomber: Targets the closest enemy in the furthest row and all adjacent enemies, dealing ATK 135% damage and applying a debuff that increases the chance of being critically hit by 30% for 2 turns.","Spooky Girl: On normal attacks, targets the closest enemy in the furthest row, dealing ATK 135% damage.","Suction Recovery: For the first 5 rounds, at the start of each round, the ally with the lowest HP% gains a HoT buff, healing by ATK 75% for 2 turns.","Second Heart: Upon dropping below 70% or 40% HP, heals self and adjacent allies by 30% of Nebula's max HP and removes all their debuffs. Can trigger once per battle for each threshold.","Hidden Ferocity: Starting from round 2, at the start of each round, ATK is increased by 6%, up to a maximum of 60%.","Damage taken by self and adjacent allies from DoT debuffs is reduced by 50%. If Nebula is under DoT debuff, all her attacks will reduce the Energy of the target by 25.",,
,5,Darkguard,Str,Zeke,Tanker,,406 198,158 642,2 317 743,77,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Assault Cogwheel: Targets the closest enemy and all enemies in a straight path behind, dealing ATK 180% damage and having a 60% chance to apply Silence for 1 turn.","Spiked Shield: On normal attacks, targets the closest enemy and the adjacent enemy behind, dealing ATK 105% damage and reducing their Speed by 5, up to a maximum of 20.",Darkguard: Damage taken from normal attacks is reduced by 25%.,"Contract of Life: Upon dropping below 70%, gains a HoT buff, healing by 30% of max HP for 4 turns. Can trigger once per battle.","Magical Growth: At the start of battle, gains 50 Energy. Chance to Silence on Assault Cogwheel increases to 80% and duration increases to 2 turns.","Upon being the only one hit by an Active Skill, launches a counterattack, dealing 80% damage of the damage taken.","Duality of Evil: For each Light hero on the enemy team, Zeke's damage taken is reduced by 10%. (Stacks up to 5 times) When an enemy reuses a skill that directly damages an ally, Zeke nullifies the damage and gains 30 Energy. (Up to 3 times per battle)",
,6,Darkguard,Int,Benzel,Dealer,,425 372,149 419,1 695 409,73,10%,50%,0%,20%,10%,0%,0%,0%,0%,0%,0%,0%,"Boiling Earth: Targets all enemies, dealing ATK 75% damage and inflicting Acid, dealing ATK 50% DoT for 3 turns. Acid damage removes all kinds of shields.","Death Explosion: On normal attacks, targets 1 random enemy, dealing ATK 115% damage and increasing their damage taken from DoT by 15%.",Gathering Strength: Damage taken from enemies inflicted by Acid is reduced by 25%.,"Dark Pledge: At the start of battle, gains 100 Energy.","Curse of Vitality: Each ticking turn, the ally with the lowest HP% is healed by 90% of damage dealt through Acid.","For each enemy inflicted by Acid, allies in the same row, including self, have their Physical Resistance increased by 6%. When below 50% HP, ATK increases by 24%.",,
,7,Darkguard,Agi,Lilith,Dealer,,485 520,130 335,1 470 210,93,10%,50%,0%,0%,65%,0%,0%,0%,0%,0%,0%,0%,"Darkness Slash: Deal ATK 180% damage to all enemies in the front row and absorb 50% of their Energy. When your absorbed energy becomes full due to the absorbed Energy, use the active skill again.","Mutilate: When Lilith dodges, the Energy of the attacker is reduced by 30.","Ambush: When below 35%, on any attack, heals by 50% of damage dealt.","Mocking Laugh: When being the last one standing, gains a buff that increases Dodge Rate by 46% for 2 turns.","Demonic Leech: Upon landing a killing blow, ATK increases by 15% of the ATK of the target and DEF increases by 20% of the DEF of the target.","When Lilith dodges, has a 50% chance of counterattacking the attacker, dealing ATK 100% damage. Upon launching a counterattack, gains 30 Energy.",,
,8,Darkguard,Agi,Bahzam,Dealer,,498 801,128 389,1 444 385,74,10%,50%,0%,0%,35%,0%,25%,0%,0%,0%,0%,0%,"Split the Darkness: Targets the closest enemy, dealing ATK 280% damage. Upon landing a killing blow, gains an extra life, allowing him to resurrect at the end of the round he is killed with 70% HP and 50 Energy. Can resurrect thrice per battle.","Cheap Shot: On normal attacks, targets the closest enemy, dealing ATK 150% damage and gaining a buff that increases Penetration by 50% for 3 turns.","Thirst for Blood: At the start of battle, Dodge Rate increases by 40%, reducing by 5% each received hit.","Frenzied Butcher: Upon dodging, gains a buff that increases ATK by 16% for 1 turn and gains 30 Energy.","Impenetrable Darkness: Upon death, targets the enemy attacker, dealing ATK 180% damage and applying a debuff that reduces their DEF by 80% for 3 turns. Can trigger twice per battle.","Upon resurrection, Energy of all enemies is reduced by 35 and Energy of all allies increases by 30.","Agent of Death: Upon Bahzam's death, he inflicts the unremovable [Mark of the Reaper] debuff on the attacker for 3 turns, dealing damage over time equal to 120% of ATK. (Once per battle, also applies to heroes in Shadow and Invisible state) Enemies afflicted with [Mark of the Reaper] take 20% increased damage. If a hero afflicted with [Mark of the Reaper] dies, Bahzam is revived.",
,9,Darkguard,Str,Zagrako,Tanker,,404 723,174 875,1 896 667,83,10%,50%,0%,0%,10%,0%,0%,0%,15%,0%,0%,20%,"Destructive Tempest: Targets the closest enemy and all adjacent enemies, dealing ATK 140% damage and applying Stun for 1 turn.","Wild Strike: On normal attacks, targets the closest enemy, dealing ATK 150% damage. For the first 5 rounds, self and adjacent allies have their Lifesteal Rate increased by 45%. Cannot be removed.","Forbidden Contract: At the end of each round, if below 30% HP, gains 50 Energy.","Demonic Path of Flames: If below 40% HP, ATK increases by 20%. Upon death, resurrects 2 rounds later at the start of the round with 50% HP and 50 Energy.","Strange Power: Upon death, adjacent allies get a buff that increases their ATK by 30% and Lifesteal Rate by 45% for 2 turns. Can trigger twice per battle.","Upon resurrection, ATK increases by 26%, DEF by 28%, and Lifesteal Rate by 25%. Can trigger thrice per battle.","Destructive Force: Upon death, Zagrako has a 60% chance to Stun each enemy hero for 1 turn, and a 100% chance to inflict a 20% Crit Weakness debuff for 2 turns. (Twice per battle) While Zagrako is dead, damage taken by adjacent allies is reduced by 15%.",
,10,Apostle of Light,Int,Rael,Healer,,423 102,146 098,1 465 045,71,10%,50%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,"Battle Cry: Applies a continuous healing to all allies, restoring HP equal to 55% of ATK for 2 turns. Additionally, grants the 2 allies with the lowest HP a shield equal to 25% of their Max HP for 2 turns.",Brave Charge: Normal attacks target the enemy with highest ATK and has a 70% chance to inflict Shock for 1 turn,"Salvation: At the start of each round, restores HP equal to 40% of ATK to the allied hero with the lowest HP","Insight: When Rael's HP is 70% or lower, Dodge Rate increases by 40%","Heavenly Blessing: WHen an allied hero (including Rael) dies, grants Blessing of Light to all allied heroes for 2 turns (once per battle). Allies affected by Blessing of Light cannot take damage exceeding 35% of Max HP from a single attack","When an adjacent back-row hero (including Rael) takes fatal damage, they survive with 1 HP instead, and gain a shield equal to 150% of Rael's ATK for 1 turn. Additionally, removes all debuffs from the target. (Once per battle. Does not trigger together with effects that let allies survive with 1 HP, and the ally's own effect takes priority).",,
